id,version,category,tier,priority,adoption_wave,adoption_status,side_effects,entrypoint,dependencies,decisions,contracts,pocs,profiles
storyworld-engineering,1.0.0,routing,foundation,P0,A-governance-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-engineering/SKILL.md,storyworld-repository-orientation;storyworld-governed-change;storyworld-conformance-and-release,DEC-0040 through DEC-0053 (proposed integration-architecture successors),,,
storyworld-repository-orientation,1.0.0,governance,foundation,P0,A-governance-foundation,generated_unadopted_baseline,read_only,.agents/skills/storyworld-repository-orientation/SKILL.md,,,,,
storyworld-governed-change,1.0.0,governance,foundation,P0,A-governance-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-governed-change/SKILL.md,storyworld-repository-orientation;storyworld-decision-impact-analysis;storyworld-conformance-and-release,,,,
storyworld-decision-impact-analysis,1.0.0,governance,foundation,P0,A-governance-foundation,generated_unadopted_baseline,read_only,.agents/skills/storyworld-decision-impact-analysis/SKILL.md,,ADR-0015;DEC-0012;DEC-0015;DEC-0017;DEC-0021;DEC-0028;DEC-0031;DEC-0032;DEC-0033,,,
storyworld-dossier-intake-maintenance,1.0.0,dossier,foundation,P0,A-governance-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-dossier-intake-maintenance/SKILL.md,storyworld-repository-orientation;storyworld-decision-impact-analysis;storyworld-conformance-and-release,,,,
storyworld-contract-authoring,1.0.0,contracts,foundation,P0,A-governance-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-contract-authoring/SKILL.md,storyworld-decision-impact-analysis;storyworld-fixture-authoring,DEC-0041 through DEC-0053,CON-001 through CON-053,,
storyworld-schema-evolution,1.0.0,contracts,foundation,P0,A-governance-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-schema-evolution/SKILL.md,storyworld-contract-authoring;storyworld-fixture-authoring,,,,
storyworld-fixture-authoring,1.0.0,evaluation,foundation,P0,A-governance-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-fixture-authoring/SKILL.md,,,All CON-* contracts with fixture requirements,POC-01 through POC-13,
storyworld-poc-execution,1.0.0,poc,foundation,P0,A-governance-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-poc-execution/SKILL.md,storyworld-fixture-authoring;storyworld-security-review;storyworld-conformance-and-release,,,POC-01 through POC-13,
storyworld-conformance-and-release,1.0.0,validation,foundation,P0,A-governance-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-conformance-and-release/SKILL.md,storyworld-repository-orientation,,,,
storyworld-creative-command-implementation,1.0.0,intent-driven,foundation,P0,B-product-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-creative-command-implementation/SKILL.md,storyworld-contract-authoring;storyworld-fixture-authoring;storyworld-studio-surface,DEC-0041,CON-001;CON-002;CON-003;CreativeInterpretation;CreativePlan;CreativeOperation;EditProposal;CreativeDecision;CreativeRevision,POC-01;POC-09,
storyworld-voice-command,1.0.0,intent-driven,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-voice-command/SKILL.md,storyworld-creative-command-implementation;storyworld-provider-adapter;storyworld-security-review,DEC-0040;DEC-0041;DEC-0044,CreativeCommand;CreativeContext;ProviderEgressDecision,POC-01,
storyworld-cross-media-command,1.0.0,intent-driven,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-cross-media-command/SKILL.md,storyworld-creative-command-implementation;storyworld-creative-direction;storyworld-native-media-workspace,DEC-0041;DEC-0042;DEC-0046,CreativePlan;ImageOperation;VideoEditOperation;AudioEditOperation;MusicOperation;GraphicLayoutOperation;SpatialEditOperation;RuntimeContentOperation,POC-09,
storyworld-creative-direction,1.0.0,creative-semantics,foundation,P0,B-product-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-creative-direction/SKILL.md,storyworld-contract-authoring;storyworld-fixture-authoring,DEC-0042,CreativeSpecification;CreativeBinding;ResolvedRealizationSpec,POC-04;POC-05;POC-09,representation-style.md;production-design.md;directorial-intent.md;cinematography-lighting-color.md;editorial-sound-music-graphics.md
storyworld-native-media-workspace,1.0.0,native-creative,foundation,P0,B-product-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-native-media-workspace/SKILL.md,storyworld-creative-command-implementation;storyworld-creative-direction;storyworld-annotation-target;storyworld-provider-adapter;storyworld-deterministic-media-worker;storyworld-studio-surface,DEC-0040;DEC-0041;DEC-0046,ImageOperation;VideoEditOperation;AudioEditOperation;MusicOperation;GraphicLayoutOperation;SpatialEditOperation;PreviewArtifact,POC-04;POC-05;POC-06,image.md;video.md;audio.md;graphic.md;spatial.md
